,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,classe
0,-1.1834502,0.8092176,-0.1393404,-0.6762087,-0.3723306,-0.15117195,-1.5921053,-0.2020433,-2.5905726,-0.25400516,-0.98487395,0.9350832,-1.1184416,-1.5708579,-1.2984049,-0.56896675,-1.8124977,-0.029124752,-2.0791628,-0.16595307,2.2076263,0.046140857,1.4692633,1.2705669,1.2836745,-0.5881263,1.0187906,1.0022206,-1.723744,-0.10475144,0.24815603,-0.32395765,-2.5424895,-0.58182955,-0.28580025,-0.30944723,0.98363113,1.9611753,-1.1826324,0.21574374,-1.0427629,-0.90014386,-1.0393125,0.23833197,2.5246313,0.9710796,1.1448975,1.066381,-1.5433675,-1.0765113,0.7343112,0.5732732,0.41100723,-0.704462,1.8347322,-0.457131,-0.22575793,-1.3655814,-2.6507452,1.4923272,-1.6789505,-0.06456517,1.3586572,0.554735,-2.432553,-0.57266456,2.611431,0.36603868,-0.93453383,0.9372384,0.90674853,-2.47219,0.1278053,0.61571085,1.6057149,-0.90360695,0.7529497,1.4909981,-0.6182048,0.5673063,0.6327311,1.5483881,0.049261685,-0.35260424,1.7625537,-0.34683496,-0.14500245,-2.1385806,0.025416235,-0.70324993,-0.075005315,0.16123913,0.81102616,0.39885336,0.65443647,2.4825318,-0.49118444,-0.46996787,1.3618935,0.21292569,0
1,0.7881726,1.5049473,-0.5716826,-0.81514716,0.3920233,-0.50944597,0.42672434,3.023675,-0.9520426,0.50978917,-0.2630924,2.1363506,-1.335232,-0.8782112,-0.44913164,0.44017878,-1.4260658,-1.3480252,-0.7157119,-0.6967778,0.51059324,0.12856075,-0.83465886,2.598622,0.28199893,1.9223655,1.4587436,-0.0008722507,-0.07432888,-1.444761,0.16560473,0.7307111,-0.47832644,1.4104508,-1.5901767,0.33784333,0.24837665,-0.085120834,-1.0458677,-0.28586087,1.3633798,-0.25241676,-1.4531665,1.7433573,0.8755392,0.40381625,-0.043435045,-1.2936676,-1.288522,0.27422866,1.5208603,-1.5643784,1.3767784,-1.0730841,-0.5901693,0.862061,-0.40027726,0.48070255,-2.2200513,-1.6608479,-0.79235166,0.6615354,-2.9100177,-1.2201368,0.6278397,2.0856316,0.18636289,-0.55563325,-1.0188206,-0.16714524,-2.8017182,-0.10909359,-0.7577623,2.075069,0.8110199,-0.39452806,-1.4290102,-0.103352234,-0.79202586,0.7358015,-0.6041896,1.1371323,0.34201962,0.18990448,0.4224913,-0.041371718,-1.2209802,-0.14295132,-0.85988456,-0.69351786,0.13694984,1.0605683,-3.1527834,-0.21601896,1.4247957,1.2167678,1.3544556,-0.4052646,1.6714324,0.52781236,0
2,-0.017947773,0.22363682,0.69816,-1.4694643,0.075625956,-0.15949121,-0.16004176,0.992133,-0.98223776,0.19983208,-0.99824655,-0.878923,1.0254092,0.111031115,-0.65928715,-0.6542229,1.3515532,-0.57506377,0.45130995,-1.8111794,0.46183825,-1.7670962,0.8983684,-0.21522668,1.1470375,0.6519372,0.74573565,-0.07478476,-0.18024355,-2.055163,0.22184527,-0.17297915,-0.4494251,-1.3572184,-0.7523643,0.4523151,-1.9115114,-1.3030671,-0.04418092,-0.53957266,0.18444201,-0.2706296,-0.06583445,-1.4834329,0.78250504,1.5789777,0.041096333,-0.27374372,-0.16118726,0.9147822,-0.5768664,0.073358715,-0.8780822,0.09589815,0.30413657,1.8905313,0.32749423,0.88542473,0.08504806,-1.0854945,0.45294014,-0.26336226,0.32038617,-0.34767526,0.11862872,-0.24627419,-0.66807544,-0.28714085,-1.2255757,0.0850802,-1.1129801,-0.28127718,1.4181017,-1.9656069,1.9133416,-0.44152457,0.017655846,0.22108223,-1.4908364,-0.16795336,-0.48731047,-0.3466731,0.826949,-1.2824173,-0.08199089,0.20444456,0.025514938,-0.088890135,-0.1273335,-2.0077884,-0.13458845,0.5324027,0.5415407,-0.26818827,0.16873603,-0.2718379,-0.7273929,0.28883547,0.36969832,-0.66582257,1
3,-0.2550936,-0.3576225,0.42450505,1.4781705,0.21259789,-0.34940603,-0.69666916,1.2161745,-2.9872267,0.49067304,-2.3756616,-2.6342034,-0.076653495,0.10773423,-2.7671702,-1.0388759,2.1756122,-4.0331707,0.09037466,3.0066693,-1.0326742,0.47398213,1.6115006,-0.7934197,2.8122644,-0.35359317,1.0689216,1.5302823,-2.3094912,0.7248026,3.9912014,-1.0228761,-1.2367371,-2.4022486,-0.93117964,-0.39824665,-0.2652552,-0.9416483,-0.023918495,0.017489256,1.7618451,-0.60630554,-0.15740196,-1.5255299,-2.0563915,2.2791355,-1.714856,-0.053104445,-2.292657,0.34475642,3.3325307,-3.0918493,1.7318655,2.0721695,3.2236152,0.43278292,0.34146848,-1.2019957,-2.618036,0.7925417,-1.2595382,-0.15517111,-0.0856669,1.2811451,-2.5921605,0.8582447,0.36300597,-0.8474818,1.1452743,2.5182214,-1.7340243,-0.51282597,-0.41043043,-0.8637677,2.1634846,-2.1428053,1.54046,-2.609708,1.0019529,2.3527505,1.6174653,2.6048708,-0.9720881,0.053841125,-0.5949603,-0.31234783,-1.0589346,1.0579872,1.6068984,-0.89851075,-1.033174,2.8493476,1.784263,-0.8291356,0.32580474,0.205308,1.6222132,0.6664072,2.6087134,-2.5805109,0
4,-0.48683202,1.7315214,-0.39709187,-0.2068697,1.4557446,-0.117780626,0.14723532,-0.05977092,-0.78291035,-0.42051962,-1.4699607,-1.0062647,2.0016196,-1.3044618,0.15755427,-1.9262174,-0.7742319,0.0233996,-1.5570177,-0.72457105,-1.3159654,-0.6605551,-1.2426322,-0.8674447,1.0910347,-1.0759269,0.0063212533,1.0060576,-0.67610854,-3.394628,1.3920242,1.7376729,-0.47547746,0.93976283,-0.5055003,-2.0010073,-1.3945402,-1.5678315,-1.6372141,-1.4191395,-2.240887,-1.5516489,-1.4513794,-2.556479,3.1132212,0.34810346,-0.27080852,1.3199371,-1.8526927,0.35314792,0.3447287,-1.6911756,0.29330042,2.1089323,-2.6931667,2.2640269,-1.4470725,-2.182919,0.06098953,-0.9082189,-1.8510382,-0.37051684,-0.85293466,-1.417921,1.3367472,1.3808206,0.7446275,0.938844,-1.5610573,1.4441421,-1.4834768,-0.88448715,-1.030952,0.9546024,-0.6811874,0.49481776,-0.23524722,0.7765496,0.19452634,0.22646722,-1.6144993,4.220033,-0.22633632,-0.08753458,-0.86244255,-1.9824417,-1.0322864,-0.088255614,1.666777,-3.9927323,2.6781585,1.3013343,-0.98833126,-1.2994634,0.32782105,1.8070415,-1.581996,-0.96510756,1.6425859,-0.9216157,0
5,-0.210254,0.54607594,-0.9620533,0.044418816,-1.3929801,-1.3368582,-1.7783526,1.3434209,-1.5482321,-0.5224823,-0.4137686,-2.0745518,0.5613946,0.59922945,-0.66313815,0.15118583,1.7521183,-1.3888453,-0.3807241,0.6276537,1.9000807,-1.165488,-1.6275893,2.6756446,-0.030496882,1.0169421,-0.75843036,0.66458696,-3.4825542,-1.9778174,3.004092,1.420584,-3.5129132,-1.1801821,-1.6894727,-0.53192323,-0.35249987,0.4264627,1.9645078,1.5760777,-1.5351782,1.9076906,-1.8374842,2.2353995,0.7381154,-0.22310969,-1.0389217,-0.2628165,-2.1425412,0.2861732,-1.1397234,-0.058661368,-2.3377862,-1.7763144,0.95368594,-1.041621,-0.9181844,-0.28636268,-1.7606359,-2.1385462,-1.5145586,-2.392573,-1.9922526,0.37454066,-0.77353877,0.68939793,1.4771457,1.3610028,-0.511171,1.2777226,-0.29496104,-0.022217922,-2.5904856,0.7518636,2.101258,0.107745215,-1.1236039,0.22801565,0.86751384,0.66191155,-1.9607818,2.5409355,0.83016264,0.55900764,1.3614323,-0.09129691,0.1740613,-1.6905009,2.1124144,-2.9487777,-2.0137153,0.10640428,-1.0493551,0.8415359,-1.3971723,1.4581041,-1.60718,0.008643547,-0.5250392,-1.6384416,0
6,-1.689999,1.8111823,0.9446203,2.9988804,1.5937124,0.7208691,-0.91820854,-0.2879476,-2.8123455,1.5360805,-0.28295776,-0.5776668,-0.5721634,-2.3570697,-1.218302,1.2377985,1.7028332,0.7516328,0.71986824,0.6547779,0.055233173,-1.1166098,1.6592993,-0.15662377,-0.188235,-2.1492052,-1.0809629,2.1541862,-0.31469324,-0.66312075,0.8971159,-2.3354983,0.99962455,0.7011227,-1.4209229,2.7928858,-2.3662899,-1.503202,0.7493616,0.8691479,-1.5351533,-1.0434469,-0.6947877,-1.7915924,0.14750554,1.3358552,-0.1809503,0.11066631,-0.69732696,0.23571686,-2.9444444,-0.91222537,-0.62545764,-0.64745945,1.056784,0.5793067,-1.944042,3.4236536,-3.2154193,-0.3906427,-0.72237146,1.2411853,-2.193602,-1.5545261,-0.40782833,1.723754,1.4872721,3.9666433,-0.7305987,2.7629614,0.17985019,-1.7215838,1.2139498,2.2266867,-1.2020197,-0.60321003,-1.9068549,0.21707387,-1.742133,1.2021152,-0.56626666,0.25143874,-0.3063842,-0.39713955,-0.965358,-2.5849292,0.8961198,-0.13193701,0.509351,-0.004936166,-0.3354988,-2.23856,1.5105212,0.8840323,0.6342998,0.4959464,-0.62686056,-1.3774521,-0.29597184,1.5192561,1
7,-0.12684755,1.6854477,-0.07210119,1.2072889,-0.037269216,-0.3214499,0.31005296,0.766514,-1.8357041,-0.57937336,-0.9956314,-0.777051,-0.3670956,-0.21335648,0.07364907,-0.02398981,-1.1794075,-0.38542062,-0.97693473,-0.36478505,-0.91413206,0.7778116,-0.9032786,0.14130147,1.3672836,0.077518225,0.11697053,1.5206994,-0.802876,0.6588197,-1.0478824,-1.338555,-0.19950704,-0.6223626,-0.68399286,0.3735923,-1.0585124,1.0343376,-0.6731679,-3.1682017,0.23275162,-0.39958325,0.32175967,-0.57198894,1.7905121,0.102028534,-0.22823684,-0.3724659,-1.37524,-1.201791,2.383079,-1.3337731,0.28439188,-0.5971793,1.4888672,1.418692,1.1596988,0.097491704,-0.07527498,-0.16473557,1.7048312,-1.714373,0.8206634,-2.0264487,-0.510421,1.8333062,-0.2712053,0.6425487,-0.7877023,0.49245182,-1.2899425,0.47101986,0.5388758,0.18545589,1.8916734,0.22920267,-0.27376693,0.29412052,-0.012366855,0.8526731,-1.2649736,1.026119,-0.8842863,-0.0009302631,0.51722765,1.0403095,0.82293123,-0.07722534,-0.13663453,-1.8487928,-0.15336359,1.7489022,-1.4573648,-1.0279093,-0.35419998,0.23958099,-0.96881396,-0.4336386,0.33282918,0.32557487,1
8,-2.0485127,-0.6740974,-0.19869375,1.4281499,0.19760796,-1.6002831,-0.059871573,-0.18770762,-1.7207615,-0.1586152,-0.3726736,0.27446607,-0.9198082,0.67839277,-1.3826126,-0.58256906,2.4708023,-0.33371568,-0.6692969,-0.28151235,0.10955975,-1.5767927,-1.0158759,-1.9376538,2.8222234,-0.09074459,-0.07603712,-0.6779778,-0.20353508,-2.751326,1.4162756,-1.8459235,-0.35998127,1.1075042,-1.1652336,-1.1850965,-0.14420095,-1.0547285,1.9276593,-0.7670654,-0.33637854,1.1416343,-0.0048558377,0.74955964,1.3191589,0.38793266,0.54377884,-2.337741,-3.4562056,-0.5464054,-1.5642958,-1.9346122,-2.5173457,0.88125604,-0.15749748,1.7900864,-1.3081416,0.2853249,-0.07869909,-1.3726614,0.9501957,-1.0144213,1.7067102,0.511756,0.36487943,2.813042,2.692641,-0.008708091,-2.1370325,0.21922414,-0.52705365,-0.8991179,0.8672191,-0.4091613,1.353894,-0.835463,-1.0966257,1.7897364,-1.1841335,-0.0845316,0.17585416,-1.344903,-0.7553983,0.39341846,-0.55414546,-2.493175,0.73540795,1.001006,-1.3004377,-1.7553605,1.6969836,-0.49276483,-0.9436273,1.1162977,-2.0478346,1.9477624,-0.025499078,0.8836331,1.0492947,-1.4124442,1
9,-1.9828395,0.44275036,-1.2877672,5.1966243,-1.7002945,0.25009656,-0.76620275,1.2195629,-1.4632442,1.0961888,-0.88352185,-2.7347493,-0.41751403,0.34182423,-1.4851145,-0.3742794,0.9924893,-1.954582,-0.104405716,0.014380898,1.6662276,-2.0560827,1.7555412,-0.8428953,0.865111,-0.7590382,0.84310955,0.19372222,-0.06633538,-1.5222485,3.249893,0.93143636,-0.9662984,-1.485374,-0.48613507,-0.09102763,-1.8673624,0.80006313,-0.6371608,-0.15712506,0.65269876,-0.6746067,-2.1682525,-0.004473772,3.786426,2.0025856,1.7247796,0.21399575,0.2294135,0.11453476,0.79557437,1.65115,0.53844297,-2.2739582,-0.40823504,0.45015693,0.8963495,1.1435454,-1.0584507,-1.2033863,-0.47272873,1.3276505,-0.7548352,1.4005555,-0.6979265,0.3805076,-1.0820607,0.56973493,1.0034614,2.0232322,-1.9313118,-2.045119,1.4600583,-0.4503758,-0.8456331,-1.3073456,1.6448702,-1.529125,0.31971243,1.3504869,-1.091786,1.8953633,-1.3932387,-2.103659,1.1337565,0.679916,-2.1601229,-2.6630898,0.14800915,-1.194746,1.1068746,0.559683,-0.30485475,0.2192268,-0.01417433,1.1746919,-0.4010107,-1.0647026,0.89114887,0.37177494,0
